store,week,category,subcategory,unit,consumption,waste,consumption_with_waste
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Coffee,,g,23808.0,1666.5600000000002,25474.56
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Coffee,,ml,77435.673,5420.49711,82856.17010999999
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Dairy,Coconut Cold Foam,ml,2291.94625,160.4362375,2452.3824875
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Dairy,Cold Cappuccino Foam,ml,236.588,16.56116,253.14916
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Dairy,Cold Milk,ml,40279.107,2819.5374900000006,43098.644490000006
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Dairy,Cream Base,g,14.0,0.9800000000000001,14.98
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Dairy,Greek Yogurt,g,15.0,1.05,16.05
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Dairy,Milk,ml,68728.814,4811.01698,73539.83098
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Dairy,Whipped Cream (Optional),ml,40.0,2.8000000000000003,42.8
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Specialty Milk,Almond Milk,ml,916.7785,64.17449500000001,980.952995
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Specialty Milk,Coconut Milk,ml,798.4845,55.89391500000001,854.378415
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Syrups,Chocolate Sauce,pump,96.0,0.0,96.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Syrups,Coconut Syrup,pump,123.0,0.0,123.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Syrups,Dragon Fruit Syrup,pump,49.0,0.0,49.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Syrups,Hazelnut Syrup,pump,31.0,0.0,31.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Syrups,Rose Syrup,pump,10.0,0.0,10.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Syrups,Sweetner syrup (optional),pump,67.0,0.0,67.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Syrups,Syrup (Customer's Choice),pump,31.0,0.0,31.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-01-26/2026-02-01,Syrups,Syrup (Optional),pump,1884.0,0.0,1884.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Coffee,,g,28838.5,2018.6950000000002,30857.195
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Coffee,,ml,88958.838,6227.118660000001,95185.95666000001
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Dairy,Coconut Cold Foam,ml,2218.0125000000003,155.26087500000003,2373.273375
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Dairy,Cold Cappuccino Foam,ml,236.588,16.56116,253.14916
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Dairy,Cold Milk,ml,48973.716,3428.1601200000005,52401.87612
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Dairy,Cream Base,g,14.0,0.9800000000000001,14.98
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Dairy,Greek Yogurt,g,31.0,2.1700000000000004,33.17
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Dairy,Milk,ml,76891.1,5382.377000000001,82273.47700000001
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Dairy,Whipped Cream,ml,2.0,0.14,2.14
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Dairy,Whipped Cream (Optional),ml,47.0,3.2900000000000005,50.29
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Specialty Milk,Almond Milk,ml,177.441,12.42087,189.86187
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Specialty Milk,Coconut Milk,ml,266.1615,18.631305,284.792805
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Syrups,Chocolate Sauce,pump,118.0,0.0,118.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Syrups,Coconut Syrup,pump,121.0,0.0,121.0
"Qargo Coffee 707 E Ocean, Long Beach, CA",2026-02-02/2026-02-08,Syrups,Dragon Fruit Syrup,pump,61.0,0.0,61.0
